Date,Relative Humidity,Temperature,rain,UV
01-01,65.27083333333334,15.98731884057971,0.0,3.25
01-02,67.66666666666667,17.322916666666668,0.125,4.5
01-03,73.29393115942028,17.776721014492754,0.25,4.5
01-04,74.32291666666667,18.427083333333332,0.0,4.75
01-05,74.0625,19.395833333333332,0.375,5.0
01-06,73.23958333333333,19.552083333333332,0.0,5.25
01-07,71.82291666666667,19.0,0.0,4.0
01-08,64.41583333333332,16.855,0.0,4.0
01-09,66.125,16.885416666666664,0.0,3.75
01-10,72.21875,17.333333333333332,13.25,3.75
01-11,70.89583333333333,16.375,12.5,3.25
01-12,64.37186594202899,16.13432971014493,2.75,3.75
01-13,70.23958333333334,17.5625,19.75,4.0
01-14,73.52083333333334,18.364583333333332,7.125,4.0
01-15,75.44791666666666,18.354166666666668,0.125,5.0
01-16,74.98958333333333,17.197916666666664,0.0,4.5
01-17,70.74878623188405,16.598858695652176,0.0,2.75
01-18,66.40625,15.927083333333332,1.25,4.75
01-19,67.99003623188406,16.721467391304348,0.0,4.5
01-20,69.41666666666667,17.75,0.0,4.5
01-21,77.70833333333333,18.416666666666668,0.875,4.75
01-22,83.86458333333333,19.15625,11.0,4.25
01-23,83.40625,20.125,0.0,5.25
01-24,78.22916666666667,18.666666666666664,2.875,5.0
01-25,74.58333333333333,17.506793478260867,12.875,4.25
01-26,78.20833333333333,17.75,104.625,5.0
01-27,69.34375,16.875,3.125,5.25
01-28,62.849761198945984,16.0022233201581,0.0,4.25
01-29,57.48295454545455,15.412878787878789,0.0,5.0
01-30,55.997282608695656,15.52626811594203,0.0,6.25
01-31,61.97916666666667,16.177083333333332,0.0,5.5
02-01,77.07765151515152,17.5625,9.75,4.75
02-02,79.29356060606061,18.28409090909091,3.625,5.0
02-03,76.88632246376812,16.98596014492754,3.0,4.25
02-04,75.73958333333334,17.09375,5.75,4.75
02-05,76.72821969696969,17.539772727272727,0.25,3.75
02-06,77.47916666666666,18.166666666666664,0.0,4.75
02-07,80.8509963768116,18.994565217391305,0.875,4.0
02-08,79.58333333333333,18.34375,0.5,4.0
02-09,78.125,17.677083333333336,0.125,4.0
02-10,82.98958333333334,17.864583333333332,149.0,3.0
02-11,84.64583333333334,18.072916666666664,5.75,4.25
02-12,83.65625,19.458333333333332,0.5,5.75
02-13,85.95833333333333,19.65625,124.5,4.0
02-14,77.48958333333333,18.979166666666668,46.125,6.25
02-15,75.19338768115942,18.946105072463766,4.25,5.75
02-16,72.87092391304347,17.173007246376812,92.5,4.5
02-17,69.58288043478261,17.027626811594203,8.5,5.5
02-18,68.24909420289855,17.444293478260867,0.0,5.0
02-19,73.4669384057971,17.586503623188406,82.375,5.25
02-20,75.06155303030303,16.417613636363637,168.5,4.75
02-21,76.19248188405797,16.49909420289855,156.875,5.25
02-22,76.72916666666667,17.270833333333332,134.625,5.5
02-23,73.65036231884058,17.805253623188406,54.5,6.75
02-24,73.62001811594203,18.016304347826086,0.0,5.75
02-25,73.11096014492753,18.5919384057971,5.5,6.75
02-26,75.35416666666666,19.864583333333332,59.5,6.75
02-27,77.95170454545455,18.409090909090907,41.875,5.25
02-28,75.46875,19.208333333333332,0.0,7.0
03-01,77.8288043478261,21.496829710144926,0.125,7.25
03-02,77.96685606060606,20.50094696969697,0.0,5.25
03-03,73.2259963768116,18.937047101449274,1.25,5.0
03-04,77.90625,19.958333333333336,10.625,3.95
03-05,79.21376811594203,19.636322463768117,3.25,5.5
03-06,75.05117753623189,19.51268115942029,24.125,5.25
03-07,75.97916666666667,20.0625,20.375,4.75
03-08,75.96780303030303,20.18844696969697,7.375,5.5
03-09,74.86730072463769,21.09692028985507,8.0,6.25
03-10,68.67708333333334,21.614583333333332,1.125,7.5
03-11,71.75815217391305,21.002717391304348,0.5,6.5
03-12,76.84646739130434,21.819293478260867,0.5,5.5
03-13,76.1340579710145,21.7205615942029,0.625,6.5
03-14,77.38068181818181,21.639204545454547,5.875,6.0
03-15,75.71969696969697,21.860795454545453,0.0,7.25
03-16,75.94791666666666,22.114583333333336,0.0,6.5
03-17,81.7776268115942,22.783967391304348,3.875,5.5
03-18,84.33288043478261,22.672101449275363,50.375,4.5
03-19,85.30797101449275,22.350996376811594,9.375,5.0
03-20,85.80208333333334,22.25,18.125,4.5
03-21,85.35416666666667,21.96875,4.875,3.0
03-22,80.26947463768116,22.41576086956522,0.25,4.75
03-23,79.23913043478261,21.56748188405797,247.5,3.75
03-24,80.38541666666667,21.583333333333336,4.75,5.5
03-25,82.81818181818181,22.763257575757578,203.75,5.5
03-26,85.28948451910408,23.051959815546773,29.375,4.75
03-27,83.9702380952381,22.345238095238095,30.0,3.675
03-28,86.21401515151516,20.955492424242422,183.625,3.0
03-29,85.13231107660455,21.192934782608695,8.75,4.5
03-30,83.95425724637681,22.514039855072465,24.0,4.25
03-31,83.73125,22.854166666666668,22.875,4.75
04-01,85.3125,21.528079710144926,5.875,3.5
04-02,83.14764492753623,20.729166666666664,18.25,2.725
04-03,76.54166666666667,21.666666666666664,7.125,5.25
04-04,79.58779761904762,22.270833333333336,51.5,4.25
04-05,81.24139492753623,21.86911231884058,38.25,3.5
04-06,81.29166666666666,22.208333333333336,125.375,4.9
04-07,76.33333333333333,21.645833333333332,31.5,6.25
04-08,67.18976449275362,21.993659420289855,0.0,5.25
04-09,71.90625,21.333333333333336,38.625,6.5
04-10,71.0,22.278532608695652,0.0,7.75
04-11,79.03125,23.739583333333332,30.625,7.25
04-12,73.5606884057971,23.997282608695652,25.0,7.75
04-13,69.94791666666667,23.666666666666664,0.125,6.75
04-14,74.60416666666666,23.979166666666668,2.25,6.0
04-15,73.86458333333333,23.864583333333332,16.5,6.25
04-16,76.6580615942029,23.69067028985507,3.25,7.0
04-17,79.76829710144928,23.56413043478261,9.375,6.0
04-18,76.25226449275362,23.941123188405797,2.375,6.0
04-19,77.65217391304347,23.647192028985508,77.125,5.5
04-20,80.83559782608695,23.831521739130434,116.75,6.5
04-21,80.90217391304347,24.724184782608695,46.5,6.25
04-22,85.09827898550725,23.899003623188406,78.25,4.225
04-23,84.0625,24.25,11.5,5.5
04-24,83.98188405797102,23.76268115942029,13.0,4.75
04-25,84.38541666666667,23.84375,13.875,4.5
04-26,76.82942193675889,23.929924242424242,9.375,6.25
04-27,78.19545807453416,24.55182453416149,29.625,6.0
04-28,78.81464097496706,25.258152173913043,10.125,7.5
04-29,77.46739130434783,25.48052536231884,4.375,7.0
04-30,77.10235507246377,25.310235507246375,12.75,7.0
05-01,80.93659420289856,24.22463768115942,121.125,6.5
05-02,79.58197463768116,23.8125,127.375,6.75
05-03,78.42708333333334,24.824404761904763,27.0,7.75
05-04,77.25,26.520833333333332,101.0,9.5
05-05,77.99864130434781,26.706521739130434,5.375,8.5
05-06,79.22537878787878,26.891098484848484,1.125,7.75
05-07,80.0625,26.958333333333332,190.75,6.75
05-08,79.72554347826087,26.284873188405797,130.625,6.75
05-09,77.8346920289855,26.70606884057971,0.375,9.0
05-10,77.98097826086956,26.81023550724638,51.5,8.0
05-11,80.99456521739131,26.77981884057971,483.0,5.975
05-12,81.98958333333333,26.638392857142858,764.125,4.625
05-13,85.12817028985508,26.298007246376812,451.125,5.25
05-14,86.51988636363636,25.74715909090909,235.0,6.25
05-15,83.29331140350877,26.281798245614034,111.5,7.5
05-16,81.55681818181819,26.135416666666668,23.875,7.75
05-17,78.44791666666667,27.1875,109.875,7.75
05-18,74.92708333333333,27.197916666666664,184.625,7.0
05-19,75.21875,28.270833333333332,10.25,8.0
05-20,79.34469696969697,28.626893939393938,56.625,8.75
05-21,80.90056818181819,28.651515151515152,468.875,7.5
05-22,80.86186594202898,28.342391304347828,100.75,6.25
05-23,84.71969696969697,27.080492424242426,129.0,4.5
05-24,86.0588768115942,26.40036231884058,120.75,6.0
05-25,88.5,26.697916666666668,234.5,4.0
05-26,84.91666666666667,28.166666666666664,138.375,8.75
05-27,82.24139492753623,28.742753623188406,189.0,7.5
05-28,79.95833333333334,28.84375,25.125,9.0
05-29,78.76488095238096,29.09375,23.625,8.75
05-30,81.77536231884058,29.114583333333332,622.5,7.25
05-31,81.39583333333333,29.625,118.25,6.5
06-01,82.29166666666667,28.635416666666664,418.0,7.25
06-02,80.75,29.125,102.125,7.0
06-03,77.69791666666667,30.041666666666668,81.0,8.0
06-04,79.52128623188406,29.51086956521739,61.625,9.0
06-05,76.99320652173913,29.120018115942027,67.625,8.5
06-06,82.85416666666666,28.21875,1270.875,5.75
06-07,85.71969696969697,28.08712121212121,932.0,5.75
06-08,85.37001811594203,28.28894927536232,672.375,5.75
06-09,85.72916666666666,28.166666666666668,387.0,5.75
06-10,83.125,28.59375,253.5,8.5
06-11,82.39583333333333,28.8125,394.25,8.75
06-12,81.31114130434783,29.1268115942029,199.25,8.0
06-13,81.85119047619048,29.321428571428573,168.5,8.0
06-14,84.94021739130434,28.08288043478261,528.25,5.0
06-15,84.43885869565217,28.274456521739133,412.25,7.75
06-16,83.42708333333333,28.239583333333336,368.0,5.5
06-17,81.90246212121212,28.667613636363637,498.125,7.5
06-18,81.12635869565217,29.149909420289855,187.375,8.0
06-19,78.97690217391305,29.750452898550726,51.75,8.5
06-20,78.26535087719299,29.952850877192983,51.875,8.5
06-21,78.60416666666667,30.020833333333332,47.75,8.75
06-22,79.6875,29.316666666666666,213.125,7.75
06-23,79.80661231884058,29.115942028985508,286.125,7.75
06-24,81.37907608695653,28.795742753623188,299.125,7.0
06-25,79.95833333333333,29.05932971014493,108.875,7.75
06-26,81.22064393939394,29.401515151515152,365.875,8.75
06-27,78.6984107378129,29.896327404479578,96.25,8.0
06-28,79.84280303030303,29.451704545454547,711.0,8.75
06-29,79.18885869565217,29.944293478260867,93.625,8.5
06-30,80.80797101449275,29.45516304347826,292.375,8.25
07-01,80.80208333333333,29.029166666666665,342.75,8.5
07-02,83.64880952380952,28.757440476190474,490.75,6.25
07-03,81.79613095238095,29.35267857142857,163.5,8.25
07-04,81.31696428571429,29.467261904761905,156.875,6.75
07-05,78.77898550724638,29.89628623188406,106.25,8.75
07-06,78.01449275362319,29.625,96.5,8.75
07-07,80.11458333333333,29.583333333333332,204.625,9.75
07-08,77.9689311594203,30.044202898550726,11.125,10.0
07-09,78.1875,30.260416666666668,0.25,10.25
07-10,76.17708333333333,30.458333333333336,3.375,10.75
07-11,75.52746212121212,30.60037878787879,5.375,10.25
07-12,74.0610119047619,30.736607142857142,3.875,10.0
07-13,71.55871212121212,30.864583333333336,1.875,10.75
07-14,73.76198122529644,30.723896574440055,20.875,10.0
07-15,74.0625,30.833333333333332,34.0,10.5
07-16,76.09185606060606,30.084280303030305,130.125,8.75
07-17,79.32110507246377,29.502264492753625,239.25,8.5
07-18,82.08049242424242,29.266098484848484,207.875,7.25
07-19,83.09166666666667,29.02916666666667,573.0,7.0
07-20,81.6875,29.1625,575.625,7.175
07-21,80.70878623188406,29.482789855072465,173.75,8.0
07-22,76.76177536231884,30.223731884057973,15.5,10.25
07-23,75.48214285714286,30.733630952380953,14.0,10.5
07-24,75.74230072463769,30.87182971014493,154.125,10.5
07-25,75.89970238095238,30.710714285714285,165.25,10.25
07-26,73.61742424242425,31.197916666666664,18.75,9.5
07-27,71.53125,31.322916666666664,84.25,10.25
07-28,74.56838768115942,30.965126811594203,25.875,9.0
07-29,78.8822463768116,30.37409420289855,366.125,7.25
07-30,81.58242753623189,29.46105072463768,312.25,6.75
07-31,81.93297101449275,29.37409420289855,431.75,8.0
08-01,79.60733695652173,29.383152173913043,315.0,8.75
08-02,77.12152777777777,29.84375,164.25,9.0
08-03,83.82518115942028,28.427618577075098,481.0,6.5
08-04,83.68115942028986,28.39764492753623,422.5,6.5
08-05,88.05163043478261,27.948822463768117,1214.75,7.25
08-06,85.48958333333333,28.833333333333332,315.25,8.75
08-07,80.96875,29.635416666666664,89.0,9.25
08-08,80.3125,29.625,160.75,9.5
08-09,81.0588768115942,29.043478260869566,594.375,6.25
08-10,83.37878787878788,28.919507575757574,451.25,6.5
08-11,84.10416666666667,28.5625,286.5,6.5
08-12,85.41666666666666,27.936141304347828,508.75,6.5
08-13,83.36458333333333,28.46875,276.875,6.25
08-14,81.27083333333334,29.03125,239.875,8.0
08-15,80.4375,29.270833333333336,72.75,9.25
08-16,79.72916666666667,29.635416666666664,156.375,9.75
08-17,82.36458333333334,29.020833333333332,258.875,9.75
08-18,83.51041666666667,28.53125,395.5,6.25
08-19,85.90625,28.03125,740.625,5.75
08-20,80.71875,29.104166666666668,74.0,8.75
08-21,79.95833333333333,29.583333333333336,49.25,8.75
08-22,76.41666666666666,29.9375,11.625,9.75
08-23,76.44791666666667,30.385416666666664,8.375,9.5
08-24,78.08333333333333,29.927083333333336,101.125,8.5
08-25,80.96875,29.197916666666664,318.625,8.75
08-26,80.84375,29.677083333333332,111.125,9.25
08-27,83.44791666666667,28.34375,216.625,6.75
08-28,81.28034420289855,28.94610507246377,140.5,7.75
08-29,80.53125,29.229166666666664,219.125,7.0
08-30,77.9981884057971,29.291666666666668,75.75,8.75
08-31,78.58333333333334,29.03125,88.5,6.75
09-01,79.70833333333334,28.885416666666664,548.625,7.0
09-02,78.19791666666666,28.802083333333332,432.75,7.0
09-03,71.875,29.770833333333332,71.5,9.25
09-04,72.29846014492753,30.0606884057971,72.125,8.0
09-05,71.48958333333334,29.645833333333336,235.625,8.0
09-06,72.57291666666667,29.760416666666664,31.125,7.5
09-07,81.95833333333333,29.041666666666668,540.625,6.25
09-08,82.85416666666666,28.1875,2223.875,6.0
09-09,76.09375,28.375,106.5,6.0
09-10,80.63541666666667,28.395833333333332,313.625,7.0
09-11,81.64583333333334,28.84375,218.5,7.0
09-12,79.34375,29.364583333333332,252.0,7.75
09-13,76.125,29.75,49.0,8.0
09-14,76.8125,28.895833333333336,570.125,5.25
09-15,76.78125,29.041666666666668,593.75,6.75
09-16,78.72554347826087,29.114583333333332,116.375,7.0
09-17,78.83333333333334,29.4375,184.625,8.5
09-18,80.73958333333333,29.479166666666664,223.0,7.25
09-19,83.55208333333333,28.697916666666664,290.875,7.75
09-20,80.53713768115942,29.120923913043477,125.125,7.5
09-21,80.81295289855072,28.63586956521739,500.375,6.5
09-22,76.78170289855072,29.379981884057973,25.25,8.25
09-23,78.67708333333334,28.9375,232.125,6.25
09-24,77.01041666666667,28.96875,91.375,8.0
09-25,74.3125,29.03125,17.375,8.25
09-26,73.28125,29.125,0.25,7.25
09-27,75.02083333333333,29.197916666666664,11.875,7.75
09-28,76.34375,28.833333333333336,102.125,5.5
09-29,81.22916666666667,28.520833333333336,178.75,6.0
09-30,83.0,28.5625,923.25,6.25
10-01,80.00226449275362,28.60326086956522,61.0,6.75
10-02,76.3310688405797,29.057065217391305,4.875,7.75
10-03,77.11820652173913,28.960144927536234,31.875,6.5
10-04,74.57653985507247,29.58016304347826,0.125,7.25
10-05,70.59375,29.451704545454547,197.5,7.5
10-06,70.55117753623189,28.158967391304348,14.875,6.75
10-07,73.88541666666667,26.864583333333336,121.25,4.75
10-08,79.66259057971014,25.62726449275362,1828.125,4.1
10-09,80.16893115942028,26.05253623188406,2159.5,4.75
10-10,72.7336956521739,25.52128623188406,198.25,5.25
10-11,65.80978260869566,26.34057971014493,0.0,7.25
10-12,64.91304347826087,26.00769927536232,0.0,6.25
10-13,75.27699275362319,25.89375,404.625,4.75
10-14,74.85293148880106,26.59057971014493,86.625,6.0
10-15,71.01449275362319,26.780797101449274,20.5,6.0
10-16,65.38731060606061,27.15719696969697,0.125,6.75
10-17,61.44655797101449,25.79981884057971,2.5,5.5
10-18,73.13994565217392,23.64673913043478,176.875,3.975
10-19,72.82291666666666,24.5625,87.375,5.175
10-20,72.65625,25.53125,3.0,6.0
10-21,71.92708333333333,24.354166666666664,9.375,5.25
10-22,68.76041666666667,23.71875,0.75,5.75
10-23,68.51358695652175,24.09963768115942,0.0,5.0
10-24,66.97916666666666,24.541666666666668,0.0,6.75
10-25,69.32291666666667,24.40625,0.0,6.5
10-26,72.30492424242425,24.917613636363637,0.0,6.75
10-27,75.09564393939394,25.43655303030303,0.0,6.0
10-28,76.63839285714286,25.36904761904762,31.375,5.0
10-29,74.0625,25.208333333333336,18.375,5.5
10-30,73.30208333333334,25.052083333333332,7.5,4.75
10-31,66.70516304347827,24.71286231884058,0.3333333333333333,5.5
11-01,69.84375,24.25,33.333333333333336,5.5
11-02,75.30208333333333,24.125,124.33333333333333,5.25
11-03,78.53125,24.208333333333332,297.0,5.5
11-04,77.61458333333333,24.354166666666664,33.833333333333336,5.75
11-05,76.79166666666667,24.166666666666664,0.0,5.5
11-06,74.375,24.854166666666668,20.0,5.5
11-07,73.27083333333334,25.052083333333332,45.333333333333336,4.5
11-08,70.80208333333333,23.395833333333336,52.166666666666664,4.75
11-09,67.21875,23.125,0.0,5.25
11-10,65.52219202898551,23.749547101449274,0.0,5.5
11-11,69.0,23.541666666666664,0.0,4.75
11-12,68.41032608695653,23.377717391304348,0.0,5.0
11-13,63.958333333333336,23.25,1.3333333333333333,5.333333333333333
11-14,67.375,22.958333333333332,0.0,4.666666666666667
11-15,72.91666666666667,23.152777777777782,0.0,5.333333333333333
11-16,75.16666666666667,23.75,0.0,6.0
11-17,77.30555555555556,24.055555555555557,0.0,5.666666666666667
11-18,76.2638888888889,23.930555555555554,1.1666666666666667,6.333333333333333
11-19,80.16666666666667,24.416666666666668,1.1666666666666667,5.333333333333333
11-20,79.80555555555556,24.75,1.8333333333333333,6.0
11-21,82.90277777777777,23.597222222222225,7.0,3.3333333333333335
11-22,81.70833333333333,22.680555555555554,17.333333333333332,3.3333333333333335
11-23,81.47222222222221,20.88888888888889,24.333333333333332,2.0
11-24,78.6780303030303,21.414141414141415,37.166666666666664,4.0
11-25,77.70833333333333,22.097222222222225,32.833333333333336,4.333333333333333
11-26,76.36111111111111,22.680555555555557,2.6666666666666665,4.333333333333333
11-27,74.29166666666667,22.333333333333332,5.166666666666667,4.0
11-28,74.80555555555556,22.569444444444443,26.166666666666668,4.666666666666667
11-29,71.875,22.666666666666668,0.0,5.666666666666667
11-30,69.27777777777777,21.26388888888889,0.0,4.333333333333333
12-01,59.77777777777778,17.847222222222225,0.0,4.666666666666667
12-02,58.458333333333336,17.916666666666668,0.0,5.666666666666667
12-03,57.486111111111114,18.208333333333332,0.0,4.666666666666667
12-04,60.833333333333336,18.375,0.0,5.0
12-05,61.77777777777777,17.944444444444443,0.0,4.333333333333333
12-06,65.35748792270532,18.028381642512077,0.0,5.0
12-07,65.33333333333333,19.75,0.0,4.666666666666667
12-08,67.27777777777779,19.916666666666668,0.0,4.333333333333333
12-09,69.88888888888889,19.902777777777775,0.0,4.333333333333333
12-10,70.59722222222221,20.041666666666668,0.0,4.333333333333333
12-11,71.55555555555556,19.90277777777778,0.0,4.666666666666667
12-12,73.72222222222221,19.569444444444443,0.0,3.6666666666666665
12-13,71.23611111111111,18.25,9.0,4.0
12-14,81.01932367149759,17.633454106280194,29.0,3.3333333333333335
12-15,80.7361111111111,17.069444444444443,9.833333333333334,2.6666666666666665
12-16,80.65277777777779,18.23611111111111,27.333333333333332,3.0
12-17,67.98611111111111,16.708333333333332,54.833333333333336,2.3333333333333335
12-18,52.041666666666664,15.402777777777777,0.0,4.666666666666667
12-19,54.083333333333336,15.541666666666666,0.0,4.0
12-20,68.7572463768116,16.32427536231884,46.333333333333336,3.6666666666666665
12-21,64.56944444444444,17.055555555555554,21.5,4.0
12-22,59.84722222222222,17.875,0.0,4.333333333333333
12-23,66.30555555555556,18.472222222222225,3.1666666666666665,4.333333333333333
12-24,69.59722222222221,18.875,9.166666666666666,4.333333333333333
12-25,71.93055555555556,18.097222222222225,0.0,3.533333333333333
12-26,71.54166666666667,17.319444444444443,0.0,3.6666666666666665
12-27,73.44444444444444,16.069444444444443,0.0,3.6
12-28,70.43055555555556,17.72222222222222,0.0,3.5666666666666664
12-29,69.16533816425121,19.068840579710145,0.0,5.0
12-30,63.736111111111114,16.13888888888889,0.0,4.666666666666667
12-31,59.958333333333336,14.736111111111109,0.0,4.666666666666667
